elapsed_time,num_reqs,num_reqs_per_sec,min_req_time,max_req_time,avg_req_time,200,302,500,502,504,error_no_http_status
0,469,4.69,20.302,1242.583,175.839,371,78,,,,20
100,902,9.02,20.073,3661.208,268.3704,610,165,,,,127
200,1153,11.53,20.371,6839.829,436.2242,701,286,,,,166
300,1162,11.62,20.042,9643.353,723.1062,711,291,,,,160
400,1229,12.29,20.139,20852.949,1338.1643,730,312,,,,187
500,1224,12.24,20.002,24001.156,1347.4854,757,307,,,,160
600,1187,11.87,20.142,15737.25,1906.0104,713,320,,,,154
700,1269,12.69,20.165,15235.52,2016.2132,736,320,,,,213
800,1171,11.71,20.088,41024.043,2445.6644,710,282,,,,179
900,1261,12.61,19.933,43997.741,3821.3354,769,322,,,,170
1000,1230,12.3,20.069,21210.553,4419.631,758,332,,,,140
1100,1259,12.59,20.204,19757.12,4794.7634,747,308,,,,204
1200,1205,12.05,19.934,20141.774,5661.5291,717,302,,,,186
1300,1205,12.05,20.162,40415.651,6276.5456,725,301,,,,179
1400,1232,12.32,19.943,28753.024,7466.122,752,316,,,,164
1500,1219,12.19,19.983,25117.47,6903.0285,711,338,,,,170
1600,1165,11.65,20.3,29105.465,7060.5049,708,296,,,,161
1700,1239,12.39,19.962,26545.434,6298.5613,721,344,,,,174
1800,1159,11.59,20.129,25122.435,6103.3426,681,305,,,,173
1900,1230,12.3,20.024,26575.976,6580.1779,746,321,,,,163
2000,1262,12.62,20.091,21762.084,6350.2177,748,340,,,,174
2100,1273,12.73,20.126,24681.953,8293.5612,813,306,,,,154
2200,1219,12.19,20.231,24885.301,8905.8071,707,325,,,,187
2300,1190,11.9,20.16,27766.093,9965.8821,708,302,,,,180
2400,1268,12.68,20.309,31761.19,11146.0885,755,316,,1,,196
2500,1284,12.84,20.106,42324.545,10976.2126,782,292,,7,,203
2600,1178,11.78,19.929,29300.109,11995.7505,709,286,,7,,176
2700,1253,12.53,20.222,42947.472,11643.9345,750,316,,21,,166
2800,1189,11.89,20.137,48190.293,11301.5692,712,295,,,,182
2900,1152,11.52,20.115,31384.328,12611.2799,687,311,,6,,148
3000,1157,11.57,20.105,30086.438,10824.394,665,330,,,,162
3100,1239,12.39,20.213,31073.086,10455.9126,759,317,,,,163
3200,1197,11.97,19.883,28226.926,10720.425,702,326,,,,169
3300,1244,12.44,19.965,26814.691,11203.2061,748,314,,4,,178
3400,1241,12.41,20.066,28446.589,11693.3518,733,313,,17,,178
3500,1264,12.64,20.205,39825.505,11334.1354,775,310,,10,,169
3600,1283,12.83,20.073,41232.189,11193.6941,760,317,,6,,200
3700,1232,12.32,20.217,27892.728,11388.9162,737,280,,20,,195
3800,1236,12.36,20.089,30163.628,12435.5155,762,305,,5,,164
3900,1109,11.09,20.1,29559.902,12648.998,645,294,,7,,163
4000,1236,12.36,20.203,28634.85,10886.727,739,338,,,,159
4100,1217,12.17,19.959,29625.126,11169.5374,741,315,,2,,159
4200,1217,12.17,20.061,28423.152,11272.3589,732,320,,,,165
4300,1226,12.26,20.049,27293.686,10825.0301,728,325,,,,173
4400,1182,11.82,20.101,40686.391,11429.1465,712,312,,,,158
4500,1274,12.74,20.265,44147.555,10515.3342,762,318,,2,,192
4600,1269,12.69,20.017,26918.678,11208.8896,790,311,,6,,162
4700,1189,11.89,19.939,29524.479,12172.8777,690,314,,17,,168
4800,1240,12.4,19.872,28668.006,12036.4426,779,295,,10,,156
4900,1177,11.77,20.352,27736.435,11357.4783,674,326,,,,177
5000,1189,11.89,20.189,60024.449,11102.5253,715,289,,25,2,158
5100,1220,12.2,19.954,54019.625,9828.7999,749,296,,,,175
5200,1238,12.38,20.217,26659.73,11033.3601,768,317,,,,153
5300,1162,11.62,20.187,28733.946,12114.3814,692,306,,2,,162
5400,1183,11.83,20.011,36288.416,10935.3075,692,325,,,,166
5500,1253,12.53,20.058,39708.059,10378.9509,728,329,,,,196
5600,1224,12.24,20.096,50135.092,10738.1276,722,312,,,,190
5700,1247,12.47,20.182,29472.898,11710.6647,739,294,,12,,202
5800,1187,11.87,20.195,37314.171,12287.7178,716,302,,17,,152
5900,1192,11.92,19.965,29323.36,11921.3001,708,309,,15,,160
6000,1266,12.66,20.07,27811.396,11239.157,753,337,,6,,170
6100,1208,12.08,20.172,27185.515,11183.3508,732,304,,,,172
6200,1246,12.46,20.255,41342.677,11200.6372,769,311,,1,,165
6300,1272,12.72,20.189,28705.175,11485.4401,755,331,,9,,177
6400,1279,12.79,20.124,27921.073,11044.2507,766,306,,17,,190
6500,1264,12.64,20.205,28378.454,11537.8339,761,315,,7,,181
6600,1216,12.16,19.979,34458.002,11923.2432,728,300,,9,,179
6700,1225,12.25,20.361,28492.703,11697.5244,725,317,,5,,178
6800,1257,12.57,20.094,28522.49,11377.222,738,333,,3,,183
6900,1194,11.94,20.28,40194.457,11823.0191,716,288,,10,,180
7000,1202,12.02,20.143,30699.245,11952.3049,710,306,,18,,168
7100,1232,12.32,20.041,52805.342,11344.3166,732,316,,2,,182
7200,1250,12.5,20.227,43189.209,12240.9608,722,308,,25,,195
7300,1198,11.98,20.179,29352.407,11836.0585,727,309,,3,,159
7400,1197,11.97,20.203,33722.223,11144.2872,718,313,,,,166
7500,1210,12.1,20.241,40124.581,11565.8614,707,316,,3,,184
7600,1229,12.29,20.205,28605.467,11649.931,722,324,,2,,181
7700,1162,11.62,19.957,28518.363,12514.1142,688,309,,10,,155
7800,1254,12.54,20.043,56946.507,11503.8065,749,306,,19,,180
7900,1243,12.43,20.285,46420.633,11270.7308,738,325,,,,180
8000,1245,12.45,20.182,28371.319,11114.8589,728,318,,5,,194
8100,1230,12.3,20.193,38344.546,10985.0377,728,313,,,,189
8200,1135,11.35,20.226,47483.989,12368.5107,687,284,,5,,159
8300,1160,11.6,20.274,29227.857,12550.1248,671,325,,6,,158
8400,1208,12.08,20.166,59474.0,11445.2703,721,330,,,,157
8500,1229,12.29,20.275,58463.766,10679.8678,724,320,,,,185
8600,1189,11.89,20.087,39887.501,11306.1284,713,305,,,,171
8700,1234,12.34,20.165,28544.413,10412.2724,736,320,,,,178
8800,1195,11.95,20.243,28941.56,12388.0867,743,300,,1,,151
8900,1213,12.13,20.018,30998.098,11930.4391,709,349,,,,155
9000,1183,11.83,20.075,29729.653,11520.1624,669,333,,2,,179
9100,1248,12.48,20.042,31805.886,10540.9397,756,308,,3,,181
9200,1277,12.77,19.994,29528.126,10966.7763,759,314,,8,,196
9300,1237,12.37,20.078,44370.262,9972.5387,724,315,,,,198
9400,1153,11.53,20.04,31401.384,12702.7389,691,274,,20,,168
9500,1259,12.59,20.211,30895.894,11975.7204,758,309,,26,,166
9600,1177,11.77,20.005,32667.855,11059.191,696,328,,,,153
9700,1232,12.32,20.279,28178.638,11275.3502,767,300,,3,,162
9800,1302,13.02,19.95,27535.714,10873.6155,786,332,,3,,181
9900,1212,12.12,19.839,30571.219,12295.0111,747,292,,10,,163
10000,1196,11.96,20.222,28168.177,12009.1936,711,305,,9,,171
10100,1197,11.97,20.026,45067.412,11809.4554,717,308,,13,,159
10200,1169,11.69,20.046,54849.549,11717.4328,699,305,,,,165
10300,1258,12.58,20.07,26567.316,10975.4787,743,313,,1,,201
10400,1182,11.82,20.12,27950.185,11878.2144,682,323,,,,177
10500,1055,10.55,20.153,60028.857,13193.3029,646,222,,22,10,155
10600,1168,11.68,20.146,44793.43,10820.5387,724,294,,,,150
10700,1261,12.61,20.2,26644.523,10525.908,726,355,,,,180
10800,1236,12.36,20.264,26825.705,11273.8238,754,296,,7,,179
10900,1161,11.61,20.3,29791.136,12720.3798,692,306,,18,,145
11000,1256,12.56,20.309,29353.743,10592.0411,712,348,,,,196
11100,1269,12.69,20.221,43859.671,9754.7704,773,310,,,,186
11200,1240,12.4,20.388,56718.276,11728.8273,769,276,,9,,186
11300,1281,12.81,19.897,41319.665,11192.4271,763,308,,19,,191
11400,1206,12.06,20.229,29752.74,12163.6178,723,303,,5,,175
11500,1168,11.68,20.188,41540.835,12152.3006,721,291,,2,,154
11600,1123,11.23,19.994,31557.313,12656.1205,651,318,,9,,145
11700,1218,12.18,20.201,37742.208,10512.1363,714,336,,,,168
11800,1199,11.99,20.007,37400.608,10531.8272,710,311,,,,178
11900,1231,12.31,20.06,26012.765,10501.1662,730,316,,,,185
12000,1200,12.0,20.046,30712.701,10752.3811,723,305,,,,172
12100,1179,11.79,20.071,36679.893,11202.1714,708,309,,,,162
12200,1282,12.82,20.262,35628.402,10710.4582,783,335,,16,,148
12300,1227,12.27,20.053,27750.895,11670.5093,761,310,,5,,151
12400,1265,12.65,20.142,27633.677,11693.0103,773,334,,3,,155
12500,1285,12.85,20.186,26741.312,11234.4297,754,321,,10,,200
12600,1291,12.91,20.138,35143.624,11646.7661,757,311,,28,,195
12700,1278,12.78,20.033,29684.831,11662.5267,763,283,,31,,201
12800,1276,12.76,20.028,38842.76,11584.0712,769,302,,14,,191
12900,1217,12.17,20.099,27557.102,11753.6019,726,291,,6,,194
13000,1240,12.4,20.013,28108.531,11756.6274,729,295,,20,,196
13100,1207,12.07,20.007,39747.769,11704.5524,724,318,,,,165
13200,1239,12.39,20.255,33350.662,11952.6114,742,308,,33,,156
13300,1216,12.16,20.015,28495.832,11683.8354,725,312,,12,,167
13400,1316,13.16,20.159,31155.414,11667.6049,813,325,,13,,165
13500,1231,12.31,20.166,27732.646,11406.6678,741,305,,11,,174
13600,1205,12.05,20.305,31281.505,11815.5411,730,306,,18,,151
13700,1280,12.8,20.095,26892.756,10611.4289,760,310,,8,,202
13800,1265,12.65,19.942,29824.839,11363.7468,769,297,,6,,193
13900,1200,12.0,19.994,29312.341,12057.0109,727,288,,5,,180
14000,1245,12.45,20.107,36986.493,11160.4234,740,315,,16,,174
14100,1201,12.01,20.236,28597.236,11897.8072,727,283,,13,,178
14200,1211,12.11,20.339,27773.755,12170.8222,724,340,,,,147
14300,1237,12.37,19.825,27010.313,11506.6557,720,331,,,,186
14400,1194,11.94,20.05,27901.382,12381.3683,728,289,,17,,160
14500,1250,12.5,20.274,30208.486,11833.5047,733,320,,10,,187
14600,1299,12.99,20.177,50988.613,10298.3273,779,317,,7,,196
14700,1144,11.44,20.34,41001.554,11860.7984,682,273,,9,,180
14800,1220,12.2,20.144,31385.865,12463.3766,713,320,,16,,171
14900,1261,12.61,20.169,29439.873,11537.2524,770,314,,13,,164
15000,1216,12.16,20.25,28874.419,12357.4745,747,302,,15,,152
15100,1229,12.29,20.082,29563.436,11754.5184,717,338,,12,,162
15200,1201,12.01,19.696,26823.263,10827.858,711,314,,,,176
15300,1212,12.12,20.067,29383.538,11520.1115,720,299,,10,,183
15400,1257,12.57,20.161,48191.256,11304.7149,737,321,,,,199
15500,1219,12.19,20.105,42861.867,11420.1219,723,301,,,,195
15600,1180,11.8,19.935,36428.409,12385.2938,706,293,,8,,173
15700,1173,11.73,20.152,35182.107,11992.7755,703,304,,12,,154
15800,1183,11.83,20.003,30067.324,11873.0282,682,325,,,,176
15900,1177,11.77,20.012,29887.494,11866.9415,718,301,,,,158
16000,1132,11.32,20.074,28361.911,12412.4982,654,316,,,,162
16100,1242,12.42,20.002,31839.272,11795.6223,737,323,,4,,178
16200,1176,11.76,20.178,27569.21,11072.6727,685,313,,,,178
16300,1230,12.3,20.077,34500.762,11417.6157,740,307,,13,,170
16400,1223,12.23,20.099,35258.722,11167.8941,744,309,,,,170
16500,1232,12.32,20.167,29848.325,11785.5916,749,314,,20,,149
16600,1240,12.4,20.172,27087.192,10925.7843,741,324,,,,175
16700,1202,12.02,20.161,28062.154,11830.9987,712,313,,2,,175
16800,1242,12.42,20.05,28000.781,11674.7896,726,319,,16,,181
16900,1240,12.4,20.121,43355.921,10851.0313,751,288,,,,201
17000,1269,12.69,20.075,42953.938,11294.8322,755,312,,22,,180
17100,1174,11.74,20.071,26201.39,10982.6347,702,299,,,,173
17200,1097,10.97,19.848,38015.288,12465.1385,657,283,,2,,155
17300,1245,12.45,20.062,41075.72,12091.0511,731,324,,32,,158
17400,1191,11.91,20.21,27290.74,10383.9679,717,327,,,,147
17500,1251,12.51,19.982,25945.29,10487.0775,744,332,,,,175
17600,1228,12.28,20.221,29454.452,11179.5141,740,309,,1,,178
17700,1248,12.48,20.134,37276.019,11188.139,741,308,,17,,182
17800,1228,12.28,20.13,47413.263,10364.3376,731,303,,6,,188
17900,1266,12.66,19.887,51684.347,11304.9309,748,303,,1,,214
18000,1181,11.81,19.874,54645.372,12145.4473,732,278,,16,,155
18100,1241,12.41,19.846,57857.321,11921.8955,727,334,,20,,160
18200,1206,12.06,19.808,28150.466,11870.2757,740,306,,6,,154
18300,1299,12.99,20.05,29298.883,11193.8672,786,334,,9,,170
18400,1224,12.24,19.961,38158.601,11649.7034,740,306,,7,,171
18500,1286,12.86,19.89,28774.822,11872.1336,773,305,,19,,189
18600,1276,12.76,19.776,26842.966,11263.4327,765,294,,25,,192
18700,1157,11.57,20.114,28373.128,12260.3897,699,290,,3,,165
18800,1206,12.06,20.143,29483.068,12575.5277,711,303,,19,,173
18900,1217,12.17,20.061,30163.005,11972.7234,755,298,,8,,156
19000,1185,11.85,20.221,28744.56,12300.4293,721,310,,,,154
19100,1214,12.14,20.067,28663.964,11450.2216,704,318,,,,192
19200,1219,12.19,20.087,31119.134,12009.4856,741,310,,,,168
19300,1175,11.75,20.131,52578.961,11918.4365,709,282,,18,,166
19400,1325,13.25,19.999,51751.66,10793.4363,802,349,,,,174
19500,1107,11.07,20.049,31786.447,12483.3467,646,294,,,,167
19600,1222,12.22,20.145,31100.275,12273.5995,708,324,,17,,173
19700,1205,12.05,20.004,30667.471,11611.8785,708,318,,4,,175
19800,1222,12.22,19.994,36476.88,11265.223,722,312,,,,188
19900,1205,12.05,19.955,28318.313,11632.3708,701,324,,,,180
20000,1163,11.63,20.226,33353.418,11941.5101,681,298,,,,184
20100,1167,11.67,20.162,34035.467,12069.6878,698,282,,15,,172
20200,1192,11.92,20.072,44937.823,11434.1802,721,325,,2,,144
20300,1224,12.24,19.991,48211.172,11800.5386,720,336,,1,,167
20400,1232,12.32,19.992,28506.81,11069.8514,734,317,,5,,176
20500,1237,12.37,20.26,28866.847,11882.9035,740,317,,9,,171
20600,1213,12.13,20.101,28961.232,11581.7103,726,301,,11,,175
20700,1188,11.88,20.063,29919.028,12046.3219,705,302,,9,,172
20800,1229,12.29,20.027,32010.428,11251.3899,737,303,,2,,187
20900,1234,12.34,20.009,36729.149,11841.8268,754,289,,10,,181
21000,1300,13.0,19.973,28238.114,11326.606,788,322,,14,,176
21100,1195,11.95,20.065,27545.76,11957.3772,736,298,,1,,160
21200,1211,12.11,20.135,27835.293,12180.7645,731,307,,22,,151
21300,1226,12.26,19.997,26552.628,10236.7984,707,350,,,,169
21400,1210,12.1,20.155,24835.688,9734.8158,731,289,,,,190
21500,1200,12.0,20.152,27624.992,11015.989,722,308,,,,170
21600,1246,12.46,20.043,28406.01,11304.6325,753,308,,13,,172
21700,1252,12.52,20.146,37066.596,11376.2145,779,297,,14,,162
21800,1267,12.67,20.16,32732.643,11294.6869,771,329,,1,,166
21900,1231,12.31,20.054,27930.132,11287.7005,725,313,,4,,189
22000,1222,12.22,19.847,27287.316,11330.7375,734,301,,,,187
22100,1184,11.84,20.048,29167.627,12085.8263,701,292,,12,,179
22200,1208,12.08,20.113,52424.829,12138.2471,724,324,,7,,153
22300,1321,13.21,19.816,51315.13,11177.8276,785,341,,13,,182
22400,1213,12.13,20.267,30454.422,11934.399,751,287,,20,,155
22500,1207,12.07,20.327,27963.269,10979.4424,716,326,,,,165
22600,1243,12.43,19.896,25735.792,10437.5259,734,329,,,,180
22700,1249,12.49,19.861,28672.68,11502.1735,749,319,,,,181
22800,1166,11.66,19.992,28782.327,11915.2249,685,299,,3,,179
22900,1211,12.11,19.977,31674.105,11823.2069,712,309,,10,,180
23000,1207,12.07,19.967,41296.948,12342.8144,708,313,,,,186
23100,1194,11.94,20.133,58640.728,11701.0346,694,309,,11,,180
23200,1237,12.37,20.023,45825.879,11880.3333,747,292,,11,,187
23300,1202,12.02,20.204,31970.482,11424.9184,726,319,,6,,151
23400,1194,11.94,20.156,27561.65,11006.1646,708,338,,,,148
23500,1180,11.8,20.017,26454.986,10680.5198,688,322,,,,170
23600,1193,11.93,20.019,28682.523,11589.8809,719,302,,,,172
23700,1244,12.44,19.978,52403.401,11526.0823,751,319,,4,,170
23800,1285,12.85,19.923,48110.904,11385.0646,777,303,,7,,198
23900,1233,12.33,20.091,36721.927,11937.0817,725,318,,7,,183
24000,1159,11.59,19.881,28995.022,12486.5051,683,283,,20,,173
24100,1234,12.34,20.199,29161.017,11953.4625,741,303,,31,,159
24200,1229,12.29,20.061,39154.599,11136.2047,733,325,,3,,168
24300,1287,12.87,19.931,27671.311,11255.5145,761,340,,4,,182
24400,1123,11.23,19.95,29395.83,12799.161,657,279,,24,,163
24500,1263,12.63,20.029,30570.742,11279.0088,762,309,,11,,181
24600,1313,13.13,20.106,28319.891,10704.2142,811,312,,12,,178
24700,1236,12.36,19.982,26973.206,10247.8764,717,311,,,,208
24800,1193,11.93,20.178,28131.215,11680.3296,715,305,,,,173
24900,1177,11.77,20.229,31101.447,12490.4991,728,260,,16,,173
25000,1256,12.56,19.917,29004.068,11903.1105,740,340,,23,,153
25100,1208,12.08,19.894,28215.104,11175.5606,704,320,,8,,176
25200,1250,12.5,20.007,28504.275,11626.4325,769,291,,20,,170
